Buenos Aires;celeste y blanca con un sol;peso;campos;Cataratas del Iguazu;ganaderia;yaguarete;Messi;espaniol;arte Mepuche;cristianismo;presidente;antigua colonia espaniola;-34.58952254327074;-58.34678308238882
Pekin;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Baghdad;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Puerto Moresby;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Sydney;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Oslo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Colombo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Montreal;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Rio de Janeiro;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Ciudad de Mexico;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Atenas;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Singapur;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Roma;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Bamako;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
New York;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Moscu;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Bangkok;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Londres;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Lima;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Moscu;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
El Cairo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
Kathmandu;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;0;0
