Buenos Aires;celeste y blanca con un sol;peso;campos;Cataratas del Iguazu;ganaderia;yaguarete;Messi;espaniol;arte Mepuche;cristianismo;presidente;antigua colonia espaniola;-34.58952254327074;-58.34678308238882
Pekin;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;39.9035;116.388
Baghdad;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;33.3245;44.4214
Puerto Moresby;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;-9.47979;147.19
Sydney;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios; -33.8667;151.2
Oslo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;59.9138;10.7387
Colombo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;6.93548;79.84868
Montreal;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;45.5016889;-73.567256
Rio de Janeiro;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;-22.9035;-43.2096
Ciudad de Mexico;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;19.4978;-99.1269
Atenas;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;37.9816;23.7308
Singapur;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;1.352083;103.819836
Roma;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;41.8905;12.4942
Bamako;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;12.6333;-7.98333
New York;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;40.6643;-73.9385
Moscu;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;55.7508;37.6172
Bangkok;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;13.7522;100.494
Londres;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;51.5072;-0.1275
Lima;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;-12.04318;-77.02824
El Cairo;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;30.0446;31.2456
Kathmandu;bandera;moneda;geografia;hitos;industria;animales;personalidades;idioma;arte;religion;gobierno;varios;27.7033;85.3181
